Local time,Open,High,Low,Close,Volume
05.01.2020 04:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 05:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 06:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 07:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 08:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 09:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 10:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 11:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 12:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 13:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 14:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 15:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 16:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 17:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 18:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 19:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 20:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 21:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 22:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 23:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
06.01.2020 00:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
06.01.2020 01:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
06.01.2020 02:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
06.01.2020 03:30:00.000 GMT+0530,1.30808,1.30855,1.30652,1.30661,2283.26
06.01.2020 04:30:00.000 GMT+0530,1.30666,1.30843,1.30633,1.30768,4167.25
06.01.2020 05:30:00.000 GMT+0530,1.30767,1.30877,1.30766,1.30796,4116.7202
06.01.2020 06:30:00.000 GMT+0530,1.30793,1.30813,1.30751,1.30788,3516.72
06.01.2020 07:30:00.000 GMT+0530,1.30788,1.30878,1.30788,1.30869,2298.28
06.01.2020 08:30:00.000 GMT+0530,1.30868,1.30899,1.30805,1.30815,2436.4099
06.01.2020 09:30:00.000 GMT+0530,1.30815,1.30868,1.30807,1.30837,2745.8799
06.01.2020 10:30:00.000 GMT+0530,1.30838,1.30857,1.30796,1.30808,2363.6899
06.01.2020 11:30:00.000 GMT+0530,1.30808,1.30830,1.30684,1.30824,5277.7598
06.01.2020 12:30:00.000 GMT+0530,1.30822,1.30942,1.30698,1.30730,11664.71
06.01.2020 13:30:00.000 GMT+0530,1.30729,1.31084,1.30638,1.31053,12442.3398
06.01.2020 14:30:00.000 GMT+0530,1.31055,1.31482,1.31029,1.31429,15107.5303
06.01.2020 15:30:00.000 GMT+0530,1.31432,1.31730,1.31374,1.31520,13526.54
06.01.2020 16:30:00.000 GMT+0530,1.31526,1.31743,1.31506,1.31564,8568.46
06.01.2020 17:30:00.000 GMT+0530,1.31566,1.31566,1.31382,1.31382,7458.9502
06.01.2020 18:30:00.000 GMT+0530,1.31388,1.31485,1.31343,1.31403,6219.0698
06.01.2020 19:30:00.000 GMT+0530,1.31403,1.31609,1.31330,1.31363,9322.1797
06.01.2020 20:30:00.000 GMT+0530,1.31362,1.31622,1.31333,1.31584,9510.1201
06.01.2020 21:30:00.000 GMT+0530,1.31584,1.31697,1.31517,1.31622,6753.5
06.01.2020 22:30:00.000 GMT+0530,1.31620,1.31745,1.31560,1.31589,5554.4302
06.01.2020 23:30:00.000 GMT+0530,1.31588,1.31676,1.31574,1.31574,3502.05
07.01.2020 00:30:00.000 GMT+0530,1.31574,1.31638,1.31553,1.31627,3621.04
07.01.2020 01:30:00.000 GMT+0530,1.31626,1.31672,1.31587,1.31661,2855.9299
07.01.2020 02:30:00.000 GMT+0530,1.31659,1.31685,1.31637,1.31685,1644.04
07.01.2020 03:30:00.000 GMT+0530,1.31685,1.31785,1.31643,1.31749,1041.21
07.01.2020 04:30:00.000 GMT+0530,1.31749,1.31752,1.31679,1.31711,5008.4302
07.01.2020 05:30:00.000 GMT+0530,1.31708,1.31767,1.31692,1.31724,4579.1201
07.01.2020 06:30:00.000 GMT+0530,1.31727,1.31773,1.31697,1.31713,2866.9299
07.01.2020 07:30:00.000 GMT+0530,1.31714,1.31721,1.31681,1.31693,2646.1399
07.01.2020 08:30:00.000 GMT+0530,1.31693,1.31755,1.31685,1.31735,2558.8899
07.01.2020 09:30:00.000 GMT+0530,1.31735,1.31751,1.31691,1.31706,3927.29
07.01.2020 10:30:00.000 GMT+0530,1.31704,1.31723,1.31531,1.31538,2539.72
07.01.2020 11:30:00.000 GMT+0530,1.31539,1.31624,1.31476,1.31551,6405.8198
07.01.2020 12:30:00.000 GMT+0530,1.31552,1.31615,1.31408,1.31435,8988.21
07.01.2020 13:30:00.000 GMT+0530,1.31437,1.32120,1.31426,1.31879,15625.4297
07.01.2020 14:30:00.000 GMT+0530,1.31877,1.31970,1.31672,1.31728,11688.9697
07.01.2020 15:30:00.000 GMT+0530,1.31727,1.31734,1.31452,1.31602,13564.1299
07.01.2020 16:30:00.000 GMT+0530,1.31602,1.31643,1.31450,1.31467,9304.25
07.01.2020 17:30:00.000 GMT+0530,1.31472,1.31478,1.31097,1.31205,12978.1602
07.01.2020 18:30:00.000 GMT+0530,1.31203,1.31233,1.31020,1.31179,12103.1602
07.01.2020 19:30:00.000 GMT+0530,1.31179,1.31357,1.31049,1.31055,10787.1904
07.01.2020 20:30:00.000 GMT+0530,1.31055,1.31244,1.30948,1.31211,12254
07.01.2020 21:30:00.000 GMT+0530,1.31211,1.31324,1.31060,1.31257,7948.8198
07.01.2020 22:30:00.000 GMT+0530,1.31255,1.31391,1.31219,1.31273,7424.5498
07.01.2020 23:30:00.000 GMT+0530,1.31273,1.31371,1.31248,1.31249,5343.27
08.01.2020 00:30:00.000 GMT+0530,1.31250,1.31269,1.31180,1.31202,8020.9199
08.01.2020 01:30:00.000 GMT+0530,1.31202,1.31229,1.31163,1.31177,4353.1802
08.01.2020 02:30:00.000 GMT+0530,1.31179,1.31213,1.31134,1.31189,2312.3999
08.01.2020 03:30:00.000 GMT+0530,1.31143,1.31264,1.31053,1.31134,1801.88
08.01.2020 04:30:00.000 GMT+0530,1.31131,1.31191,1.31047,1.31134,3951.26
08.01.2020 05:30:00.000 GMT+0530,1.31135,1.31196,1.31062,1.31114,7664.1099
08.01.2020 06:30:00.000 GMT+0530,1.31115,1.31207,1.31108,1.31166,7054.3701
08.01.2020 07:30:00.000 GMT+0530,1.31166,1.31398,1.31166,1.31326,8033.8501
