Local time,Open,High,Low,Close,Volume
05.01.2020 08:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 09:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 10:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 11:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 12:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 13:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 14:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 15:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 16:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 17:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 18:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 19:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 20:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 21:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 22:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
05.01.2020 23:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
06.01.2020 00:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
06.01.2020 01:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
06.01.2020 02:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
06.01.2020 03:30:00.000 GMT+0530,0.69416,0.69423,0.69352,0.69361,1091.62
06.01.2020 04:30:00.000 GMT+0530,0.69359,0.69445,0.69322,0.69432,4948.0298
06.01.2020 05:30:00.000 GMT+0530,0.69432,0.69556,0.69428,0.69525,5177.02
06.01.2020 06:30:00.000 GMT+0530,0.69525,0.69537,0.69355,0.69398,5616.1001
06.01.2020 07:30:00.000 GMT+0530,0.69398,0.69479,0.69393,0.69459,3051.48
06.01.2020 08:30:00.000 GMT+0530,0.69459,0.69483,0.69399,0.69417,2130.1201
06.01.2020 09:30:00.000 GMT+0530,0.69417,0.69451,0.69399,0.69444,2661.0901
06.01.2020 10:30:00.000 GMT+0530,0.69448,0.69451,0.69365,0.69366,2314.8401
06.01.2020 11:30:00.000 GMT+0530,0.69366,0.69393,0.69325,0.69391,3330.3701
06.01.2020 12:30:00.000 GMT+0530,0.69390,0.69479,0.69389,0.69451,3586.1899
06.01.2020 13:30:00.000 GMT+0530,0.69453,0.69508,0.69383,0.69452,5020.8901
06.01.2020 14:30:00.000 GMT+0530,0.69453,0.69555,0.69453,0.69550,3951.53
06.01.2020 15:30:00.000 GMT+0530,0.69549,0.69574,0.69517,0.69526,2895.1201
06.01.2020 16:30:00.000 GMT+0530,0.69525,0.69527,0.69458,0.69471,3039.21
06.01.2020 17:30:00.000 GMT+0530,0.69471,0.69540,0.69463,0.69488,2754.8201
06.01.2020 18:30:00.000 GMT+0530,0.69488,0.69498,0.69420,0.69440,3314.05
06.01.2020 19:30:00.000 GMT+0530,0.69440,0.69448,0.69250,0.69274,4767.54
06.01.2020 20:30:00.000 GMT+0530,0.69273,0.69365,0.69256,0.69329,4926.8999
06.01.2020 21:30:00.000 GMT+0530,0.69330,0.69356,0.69284,0.69306,3285.22
06.01.2020 22:30:00.000 GMT+0530,0.69306,0.69350,0.69301,0.69348,2092.8101
06.01.2020 23:30:00.000 GMT+0530,0.69346,0.69384,0.69332,0.69351,1517.52
07.01.2020 00:30:00.000 GMT+0530,0.69351,0.69354,0.69313,0.69333,1921.62
07.01.2020 01:30:00.000 GMT+0530,0.69336,0.69400,0.69331,0.69398,1778.4301
07.01.2020 02:30:00.000 GMT+0530,0.69398,0.69414,0.69379,0.69382,703.57
07.01.2020 03:30:00.000 GMT+0530,0.69384,0.69417,0.69355,0.69381,1219.6
